name,latitude,longitude,num_reviews
Para Thin Alos,36.54224,26.342255,171.0
L'arte Del Gelato,37.933594,23.757133,85.0
Ta Tria Platania,39.759876,21.18802,252.0
Stou Thoma,38.235405,20.605364,96.0
Ekeimeros,40.539448,22.43234,109.0
An to Petyxeis Taverna Kafe,35.284267,23.81075,103.0
Envy Cafe Club,35.34111,25.11927,91.0
Akti Cafe Restaurant,35.205498,26.108643,63.0
Ozon,35.50976,23.978825,140.0
Romantika,35.097534,24.695118,169.0
Port Cafe,35.319424,25.391691,145.0
Asteria Restaurant,35.329525,25.302145,559.0
Harvest Coffee & Wine,37.979576,23.728376,341.0
Athenee,37.977215,23.735632,95.0
To Lokali,37.978714,23.721775,93.0
Oionos Cafe Bar,37.97195,23.73131,42.0
Le Charme de Pit,37.977104,23.739752,62.0
Old Tavern of Stamatopoulos,37.973194,23.72894,81.0
StreetWok,37.9769,23.727678,179.0
Oven Sesame,37.976536,23.727575,171.0
Palmie bistro,37.97585,23.729816,196.0
Pizza Hut,37.87301,23.73524,58.0
Throubi,37.977325,23.728165,49.0
Koi Sushi Bar,37.974667,23.733082,795.0
Tavern Metaxourgeio,37.982826,23.719158,85.0
Taverna Orea Penteli,37.978535,23.724964,224.0
O Elvis,37.981335,23.716272,64.0
Spollati,37.977207,23.727703,161.0
Piroliki,37.98128,23.71392,109.0
Wabi Sabi,37.985023,23.730566,206.0
Anadolu - Anadolu MutfagI,37.99118,23.73807,269.0
Fagopoteion,37.97837,23.745378,86.0
Cadillac Burgers,37.97545,23.72868,51.0
Not Just Falafel,37.976746,23.730082,165.0
Iridanos Restaurant,37.976215,23.722328,51.0
Taverna Acropoli,37.974464,23.726145,288.0
Meraklides,38.00541,23.73806,48.0
Noel,37.9777,23.728668,886.0
Centrale,37.97594,23.729925,220.0
Souvlaki Bar,37.976673,23.721823,318.0
Gefstiki Gonia,37.989025,23.722721,469.0
Cross Restaurant,37.974354,23.750675,107.0
To Nisi,38.041668,23.688503,120.0
Diavlos Restaurant,37.97682,23.721336,303.0
Mirch Indian Take Away,37.97704,23.723713,555.0
Grill House Vassilis,37.958313,23.723053,163.0
Kuzina,37.976395,23.722061,1988.0
Ivis,37.97759,23.722672,117.0
Oraia Penteli,37.97852,23.724924,160.0
Overoll Croissanterie,37.978863,23.729689,42.0
Falafel House,37.97798,23.726633,186.0
Masina,37.955418,23.715134,220.0
Cafe Veneti,37.984283,23.72858,270.0
Hot hot burger bar,37.977608,23.731096,200.0
Lemonanthos,37.969807,23.71304,133.0
The Zillers,37.97562,23.729553,351.0
Monternoi Kairoi,37.99422,23.764675,55.0
To Omorfo,37.979942,23.746841,180.0
Opos palia,37.967445,23.72884,351.0
Premiera,37.954807,23.71282,70.0
Ta Skalakia,37.97718,23.756666,166.0
Kriti,37.98534,23.73092,760.0
Mono Restaurant,37.974705,23.729477,766.0
Dimitris And Savvas of Athens,37.977345,23.72559,282.0
Poikili Stoa,37.976444,23.723068,46.0
Blue Bamboo,37.970062,23.712456,184.0
To Triantafyllo tis Nostimias,37.97706,23.731771,101.0
Soufala,37.994003,23.765242,58.0
Stinking Bishop,37.978416,23.743286,223.0
Da Capo Caffe,37.9774,23.741102,109.0
Takis Bakery,37.96767,23.7268,141.0
Gregory's Cafe,37.97683,23.72646,77.0
To Pilioritiko,38.055325,23.870747,42.0
Geia Kalamaki,38.001297,23.737564,39.0
Amvrosia,37.965004,23.726553,403.0
Cafe Avissinia,37.97657,23.723602,787.0
MERCERI food & drink,37.9757,23.717005,46.0
Red Elephant,37.994045,23.761953,196.0
Mikro Politiko,37.969536,23.730627,83.0
Chochlios Cretan Kuisine,38.04971,23.75301,69.0
Gyristroula,37.97698,23.72114,350.0
Veganaki,37.96757,23.733006,262.0
Dioskouri Cafe-Tavern,37.97579,23.72472,377.0
Chatzis - Sintagma,37.97519,23.733402,197.0
Savas from Monastiraki 1925 (Athens),37.97623,23.726774,283.0
Ombra,38.003883,23.775183,90.0
Vova Bar,37.967197,23.728287,54.0
The James Joyce Irish Pub & Restaurant,37.97692,23.722761,375.0
Thissio View,37.974094,23.720093,476.0
Kalamaki Mou,37.98316,23.75645,87.0
Drunk Sinatra,37.97737,23.730864,249.0
Street Souvlaki Athens Center,37.97765,23.730331,218.0
Winter Garden,37.97633,23.735542,86.0
Nikiforos,37.99393,23.765768,184.0
Terra Petra,38.044746,23.672863,153.0
To Tsipouradiko tou Apostoli,37.96963,23.713049,51.0
Sakura Sushi,37.992817,23.765182,47.0
Mohnblumchen,37.97838,23.741709,39.0
Bougatsadiko Thessaloniki,37.97832,23.724926,207.0
Cremino Ice Cream Shop,37.97286,23.733131,67.0
East Pearl Chinese Restaurant,37.974743,23.73304,431.0
Neoklassiko,37.97655,23.732191,480.0
Chez Michel,37.976643,23.74258,97.0
Le Petit Village,37.975594,23.730518,51.0
Bistrot Attica,37.93773,23.949175,42.0
Kalyvas,37.96296,23.721983,144.0
Il Tinello,37.91656,23.723372,77.0
Liopetro,37.97496,23.72869,96.0
O Kipos Tis Troon,37.969967,23.713333,131.0
Mouses,37.976135,23.723047,270.0
Fournos Veneti,37.979004,23.753353,46.0
Mezepolion I Kali Zoi,37.976665,23.721964,56.0
To Kafeneio,37.97774,23.743519,217.0
Eat at Milton's,37.973545,23.730087,833.0
1002 Nyktes,37.97722,23.72421,44.0
Kebap To Rodi,38.004642,23.71571,82.0
Capanna,37.97865,23.744871,309.0
To Steki Tou Ilia,37.977108,23.718185,279.0
Oinoscent,37.97403,23.732138,364.0
Dosirak,37.974888,23.732338,257.0
IT restaurant,37.97877,23.73945,253.0
MOMA,37.975826,23.724104,592.0
Petite Fleur Pangrati,37.972137,23.744024,62.0
The Egg Of The Rooster,37.98266,23.719643,70.0
Yiasemi,37.9735,23.727896,791.0
Peek A Bloom,37.976875,23.73203,65.0
Cafe Amoroso,37.976143,23.728415,58.0
School Pizza Bar,37.976974,23.728216,578.0
To Koudounaki,37.97776,23.722519,42.0
Atlantikos,37.977493,23.72296,828.0
