name,latitude,longitude,rating,num_reviews,rooms,total_grade
Xenia,37.77013,23.531885,0.0,0.0,6.0,0.0
Ruby Rooms,38.108234,23.820234,0.0,0.0,0.0,0.0
Civitel Esprit,38.048084,23.79754,0.0,0.0,20.0,72.0
NLH Kerameikos,37.979965,23.720629,0.0,0.0,35.0,100.0
Victoria Residence Athens,37.995495,23.728598,0.0,0.0,19.0,93.0
Mavro Lithari Beach Apartments,37.73312,23.903532,2.5,31.0,17.0,0.0
Egosthenio Hotel - Porto Germeno,38.15231,23.2257,3.0,2.0,106.0,0.0
The Pinnacle Athens,37.979614,23.728235,4.5,101.0,0.0,100.0
Wyndham Athens Residence,37.985493,23.720947,4.5,398.0,89.0,100.0
Jason Inn,37.978645,23.720758,3.5,644.0,57.0,100.0
Acropolis Hill Hotel,37.967102,23.723454,4.0,966.0,36.0,100.0
Best Western Plus Embassy Hotel,37.9839,23.75596,4.0,274.0,31.0,90.0
The Stanley,37.985966,23.720827,4.0,459.0,380.0,100.0
Athos Hotel,37.9749,23.731136,3.5,253.0,18.0,100.0
Athens Zafolia Hotel,37.989468,23.746857,4.0,587.0,191.0,73.0
Mirame Athens Boutique Hotel-House Of Gastronomy,37.977394,23.721888,5.0,34.0,7.0,100.0
Hotel Phaedra,37.97102,23.730406,4.0,404.0,21.0,100.0
A77 Suites by Andronis,37.974216,23.729294,5.0,83.0,12.0,100.0
Arion Athens Hotel,37.97942,23.725733,4.0,838.0,51.0,100.0
Adams Hotel,37.971336,23.731386,4.0,371.0,14.0,100.0
Hotel Pergamos,37.98853,23.726767,3.5,372.0,33.0,97.0
Electra Metropolis Athens,37.975113,23.732151,4.5,1635.0,216.0,100.0
Astor Hotel,37.976536,23.732428,3.5,988.0,131.0,100.0
Golden City Hotel,37.986423,23.725407,3.0,371.0,90.0,100.0
Athens Diamond Plus,37.975407,23.732525,4.0,238.0,13.0,100.0
Athens Lotus Hotel,37.987213,23.721289,4.0,1053.0,31.0,100.0
Ambrosia Suites,37.985043,23.72713,3.5,162.0,0.0,0.0
Hotel Vienna,37.982994,23.725426,3.5,178.0,62.0,100.0
Athens Capital Center Hotel - MGallery Collection,37.97679,23.736153,4.5,201.0,177.0,100.0
Stone Palace Hotel,37.95225,23.84735,3.0,14.0,0.0,41.0
Philippos Hotel,37.967697,23.727255,4.0,1344.0,50.0,100.0
"Radisson Blu Park Hotel, Athens",37.99126,23.733164,4.0,1674.0,152.0,93.0
Athens Psiri Hotel,37.98137,23.726349,4.5,10.0,0.0,100.0
The Athenian Callirhoe Exclusive Hotel,37.965626,23.72944,4.0,983.0,84.0,100.0
Hotel Elisabeth,37.98726,23.76722,3.5,38.0,18.0,82.0
Balasca Hotel,37.99068,23.723751,2.5,174.0,83.0,89.0
Andronis Athens,37.97826,23.72464,5.0,183.0,6.0,100.0
Tier Collection,37.986378,23.72259,4.0,20.0,18.0,100.0
Central Hotel,37.974655,23.731155,4.0,2279.0,84.0,100.0
The Newel Acropolis,37.96689,23.73359,3.5,5.0,24.0,100.0
athensotel.com,37.97786,23.725935,4.0,51.0,14.0,100.0
Hotel Erato,37.97607,23.71283,3.5,3.0,21.0,100.0
Ivis 4 Boutique Hotel,37.977776,23.722261,5.0,63.0,14.0,100.0
Gatsby Athens,37.976807,23.732058,5.0,41.0,33.0,100.0
Niche Hotel Athens,37.96723,23.730356,4.5,121.0,37.0,100.0
Crystal City Hotel,37.985313,23.720675,3.5,451.0,36.0,100.0
Novotel Athenes,37.989464,23.725016,4.0,2968.0,196.0,93.0
Trendy Hotel By Athens Prime Hotels,37.985435,23.732206,4.5,15.0,44.0,100.0
Madison Hotel & Suites,37.996838,23.770927,3.0,2.0,0.0,81.0
"Hotel Grande Bretagne, A Luxury Collection Hotel",37.976265,23.735342,4.5,4407.0,321.0,100.0
Tempi Hotel,37.977337,23.727798,3.5,452.0,24.0,100.0
Pinguino Hostel Athens,37.99847,23.718428,5.0,1.0,15.0,66.0
Parnon Hotel,37.986065,23.728786,3.5,217.0,51.0,100.0
Polis Grand Hotel,37.985428,23.729544,4.0,1448.0,100.0,100.0
Noma Hotel,37.97688,23.727905,4.0,36.0,0.0,100.0
Heart of Athens,37.97866,23.722925,4.5,83.0,3.0,100.0
The Residence – Christokopidou Hotel & SPA,37.97776,23.723385,4.5,53.0,17.0,100.0
Museum Hotel,37.988083,23.733446,4.0,1137.0,93.0,100.0
The Golden Age Hotel of Athens,37.9783,23.755428,4.0,912.0,122.0,99.0
President Hotel,37.989155,23.76377,3.5,2090.0,516.0,88.0
Athens Platinum Rooms and Suites,37.98866,23.768597,4.0,39.0,41.0,83.0
Diros Hotel,37.9845,23.725845,3.0,164.0,45.0,100.0
Plaka Arch Suites,37.9707,23.73062,4.5,13.0,7.0,100.0
Royal Olympic,37.967697,23.732357,4.0,3979.0,264.0,100.0
Cecil Hotel Athens,37.979168,23.726664,3.5,484.0,36.0,100.0
"Brown Lighthouse Athens, a Member of Brown Hotels",37.98469,23.727573,4.0,41.0,220.0,100.0
Pagration Youth Hostel,37.96544,23.74857,3.5,86.0,10.0,90.0
MET34 Athens,37.97552,23.731537,5.0,389.0,7.0,100.0
Best Western My Athens Hotel,37.9839,23.723589,3.0,352.0,55.0,100.0
Mona Athens,37.97766,23.726048,5.0,3.0,20.0,100.0
Alassia Hotel,37.98489,23.727058,3.0,269.0,82.0,100.0
"King George, a Luxury Collection Hotel, Athens",37.976295,23.734932,4.5,1313.0,102.0,100.0
Iasonos Suites Athens,37.984787,23.720015,3.0,5.0,16.0,100.0
Exarchion Hotel,37.986164,23.734419,3.5,190.0,50.0,100.0
Athens Odeon Hotel,37.982132,23.723158,3.0,164.0,56.0,100.0
Athens Lydia Hotel,37.99693,23.72206,3.5,6.0,37.0,72.0
Periscope Hotel,37.978333,23.74391,4.5,520.0,22.0,100.0
Rio Hotel,37.98524,23.719652,2.5,257.0,51.0,100.0
Victory Inn,37.99614,23.734251,4.5,364.0,34.0,94.0
Nicola Hotel,37.99721,23.74278,3.5,19.0,29.0,73.0
Hotel Cosmopolit,37.985283,23.727608,3.5,304.0,65.0,100.0
The Marblous Athens,37.97553,23.732391,4.5,38.0,25.0,100.0
Hotel Cosmos,37.987007,23.722464,3.5,383.0,123.0,100.0
Athens Tower Hotel by Palladian Hotels,37.97677,23.726292,4.5,28.0,0.0,100.0
Athens Hawks,37.981968,23.724632,3.5,49.0,50.0,100.0
Acropolian Spirit Boutique Hotel,37.96777,23.731056,4.0,101.0,40.0,100.0
Evripides Hotel,37.980312,23.723574,4.0,1029.0,62.0,100.0
Athenaeum Eridanus Luxury Hotel,37.97998,23.718405,3.5,41.0,39.0,100.0
Divani Caravel Hotel,37.97311,23.751451,4.5,560.0,471.0,100.0
Novus City Hotel,37.985626,23.722586,4.0,966.0,85.0,100.0
COLORS Hotel Athens,37.984516,23.73274,5.0,66.0,29.0,100.0
Athenaeum Smart Hotel,37.95635,23.7168,4.0,27.0,0.0,81.0
Hotel @ Syngrou Fix,37.963547,23.725147,4.5,80.0,30.0,100.0
ibis Styles Athens Routes,37.95932,23.734268,4.5,116.0,89.0,92.0
Athens Starlight Hotel,37.978382,23.727451,4.5,62.0,25.0,100.0
Vitruvius Smart Hotel & Spa,37.98355,23.721506,4.0,67.0,21.0,100.0
Hermes Hotel,37.974667,23.731216,4.5,1861.0,45.0,100.0
Hotel Bryon,37.970127,23.730095,3.0,337.0,20.0,100.0
Lozenge Hotel,37.977604,23.736801,4.5,273.0,25.0,100.0
B4B Athens 365 Hotel,37.958904,23.719137,4.5,83.0,15.0,87.0
xenodocheio Milos,37.977253,23.733126,4.5,13.0,42.0,100.0
Mosaikon,37.97774,23.72844,5.0,48.0,0.0,100.0
Ares Athens Hotel,37.983456,23.726097,3.0,65.0,39.0,100.0
44 Athens,37.983025,23.760004,5.0,4.0,0.0,93.0
Boss Boutique Athens,37.986443,23.72705,3.5,17.0,0.0,100.0
Hotel Feron,37.99256,23.72666,2.5,4.0,19.0,93.0
Dionysos Hotel,37.995514,23.728569,3.5,97.0,26.0,93.0
Melia Athens,37.98604,23.730024,4.0,2824.0,136.0,100.0
Ilisia Hotel Athens,37.975796,23.751865,3.0,307.0,91.0,100.0
Klepsydra Urban Suites,37.97959,23.72991,4.5,35.0,14.0,100.0
Athens Center Rooms,37.987072,23.72289,2.0,4.0,0.0,100.0
Brown Acropol By Brown Hotels,37.983585,23.727194,4.5,162.0,165.0,100.0
Acropolis Plaza Smart Hotel and Spa,37.984844,23.720058,4.5,35.0,16.0,100.0
Hotel Diethnes,37.99372,23.721933,3.0,139.0,25.0,84.0
Hotel Artemision,37.98562,23.72855,2.0,35.0,43.0,100.0
Mirabello Hotel,37.984303,23.726118,3.5,162.0,50.0,100.0
Athens Center Square,37.98031,23.726286,4.5,1649.0,54.0,100.0
Urban Frame Hotel,37.97352,23.73282,4.5,52.0,15.0,100.0
B4B Athens Signature Hotel,37.965473,23.730848,4.5,237.0,34.0,100.0
AVA Hotel Athens,37.97051,23.731339,5.0,2051.0,15.0,100.0
NLH Kerameikos - Neighborhood Lifestyle Hotels,37.97987,23.720625,4.5,19.0,35.0,100.0
Hotel Platon,38.064922,23.755512,3.5,30.0,66.0,0.0
